41 
23 
26 39 
25 39 
25 26 
17 32 
11 33 
10 31 
0 1 
38 39 40 
26 38 40 
25 38 40 
24 39 40 
24 38 40 
24 38 39 
24 26 40 
24 26 38 
24 25 40 
24 25 38 
22 37 38 
19 32 35 
17 19 35 
16 37 38 
16 22 38 
16 22 37 
15 32 34 
15 17 34 
13 32 33 
13 17 33 
13 14 16 
12 14 33 
11 13 32 
11 13 17 
11 12 14 
8 31 32 
8 17 31 
8 10 32 
8 10 17 
6 7 30 
2 27 28 
1 38 42 
0 38 42 
22 37 39 40 
22 26 37 40 
22 25 37 40 
22 24 37 40 
22 24 37 39 
22 24 26 37 
22 24 25 37 
20 32 36 37 
18 32 34 35 
18 19 34 35 
18 19 32 34 
17 20 36 37 
17 18 34 35 
17 18 19 34 
16 37 39 40 
16 29 32 33 
16 26 37 40 
16 25 37 40 
16 24 37 40 
16 24 37 39 
16 24 26 37 
16 24 25 37 
16 22 39 40 
16 22 26 40 
16 22 25 40 
16 22 24 40 
16 22 24 39 
16 22 24 26 
16 22 24 25 
16 17 29 33 
15 19 34 35 
15 18 34 35 
15 18 32 35 
15 18 19 35 
15 18 19 34 
15 18 19 32 
15 17 18 35 
15 17 18 19 
14 29 32 33 
14 17 29 33 
14 16 32 33 
14 16 29 33 
14 16 29 32 
14 16 17 33 
14 16 17 29 
13 19 33 35 
13 16 29 33 
13 16 29 32 
13 16 17 29 
13 15 33 34 
13 14 37 38 
13 14 29 33 
13 14 29 32 
13 14 22 38 
13 14 22 37 
13 14 17 29 
12 29 32 33 
12 17 29 33 
12 16 32 33 
12 16 29 33 
12 16 29 32 
12 16 17 33 
12 16 17 29 
12 14 29 32 
12 14 17 29 
12 14 16 32 
12 14 16 29 
12 14 16 17 
12 13 29 33 
12 13 29 32 
12 13 17 29 
12 13 16 33 
12 13 16 32 
12 13 16 29 
12 13 16 17 
12 13 14 32 
12 13 14 29 
12 13 14 17 
11 16 29 32 
11 16 17 29 
11 14 29 32 
11 14 17 29 
11 14 16 32 
11 14 16 29 
11 14 16 17 
11 13 19 35 
11 13 16 29 
11 13 15 34 
11 13 14 29 
11 12 29 32 
11 12 17 29 
11 12 16 32 
11 12 16 29 
11 12 16 17 
11 12 13 29 
11 12 13 16 
8 19 31 35 
8 15 31 34 
8 13 31 33 
8 11 13 31 
8 10 19 35 
8 10 15 34 
8 10 13 33 
8 10 11 13 
4 7 28 30 
4 6 28 30 
4 6 7 28 
1 39 40 42 
1 27 28 29 
1 26 40 42 
1 25 40 42 
1 24 40 42 
1 24 39 42 
1 24 26 42 
1 24 25 42 
1 22 37 42 
1 16 37 42 
1 16 22 42 
1 2 28 29 
1 2 27 29 
0 39 40 42 
0 27 28 29 
0 26 40 42 
0 25 40 42 
0 24 40 42 
0 24 39 42 
0 24 26 42 
0 24 25 42 
0 22 37 42 
0 16 37 42 
0 16 22 42 
0 2 28 29 
0 2 27 29 
29 32 33 37 38 
27 28 29 38 42 
22 29 32 33 38 
22 29 32 33 37 
21 32 36 37 38 
21 22 32 36 38 
21 22 32 36 37 
20 22 32 36 38 
20 21 36 37 38 
20 21 32 37 38 
20 21 32 36 38 
20 21 22 36 38 
20 21 22 36 37 
20 21 22 32 38 
20 21 22 32 37 
20 21 22 32 36 
19 20 35 36 37 
17 29 33 37 38 
17 22 29 33 38 
17 22 29 33 37 
17 21 36 37 38 
17 21 22 36 38 
17 21 22 36 37 
17 20 22 36 38 
17 20 21 37 38 
17 20 21 36 38 
17 20 21 22 38 
17 20 21 22 37 
17 20 21 22 36 
16 21 32 36 38 
16 21 32 36 37 
16 21 22 32 36 
16 20 32 36 38 
16 20 22 32 36 
16 20 21 36 38 
16 20 21 36 37 
16 20 21 32 38 
16 20 21 32 37 
16 20 21 32 36 
16 20 21 22 36 
16 20 21 22 32 
16 19 29 33 35 
16 17 21 36 38 
16 17 21 36 37 
16 17 21 22 36 
16 17 20 36 38 
16 17 20 22 36 
